Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1040570,-,-,-,35.09,-81.06,-5,191,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,17,30,0,0,0,9,10,990,100,65.5,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,18,30,0,0,0,9,9,990,100,71,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,19,30,0,0,0,9,9,990,100,92.2,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,20,30,0,0,0,9,9,990,100,97.1,0.9,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,21,30,0,0,0,9,9,990,100,101.6,1,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,22,30,0,0,0,9,9,990,100,112.4,1.2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,23,30,0,0,0,9,9,990,100,115.5,1.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,0,30,0,0,0,9,10,990,100,127.1,1.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,1,30,0,0,0,11,11,990,100,148.1,1.2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,2,30,0,0,0,11,11,990,100,164.9,0.8,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,3,30,0,0,0,11,11,980,100,168.1,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,4,30,0,0,0,11,11,980,100,165.5,0.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,5,30,0,0,0,11,11,980,100,158.8,0.4,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,6,30,0,0,0,11,11,980,100,146.3,0.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,7,30,0,0,0,11,11,980,100,167.6,0.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,8,30,483,40,117,11,12,980,100,197.7,1.2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,9,30,740,52,285,13,14,980,100,220.1,1.5,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,10,30,826,65,422,14,15,980,97.94,235.9,1.7,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,11,30,875,70,515,15,16,980,96.34,239.1,2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,12,30,0,140,140,15,17,980,90.37,241.7,2.2,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,3,13,30,31,203,219,14,16,980,90.56,240.9,2.1,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
