Electricty [kW],Heating demand [kW]
266.2037237,168.5619232
247.6611001,106.3133568
233.5953693,69.67293346
227.4024743,39.73549484
241.6922527,39.7904819
299.1436741,46.51466659
419.2058979,69.9507435
521.3642589,59.17204866
576.97339,83.62761016
558.5551516,110.8594315
511.4840903,154.5047015
419.0041532,174.1733778
336.9338337,217.7140471
245.2537142,236.0503644
211.4185437,253.5010507
196.7827754,259.8103244
192.6696566,256.4313286
192.8642234,260.7812583
206.9649059,252.5624246
263.58284,259.0617698
346.0961388,247.1149447
324.3039153,226.5076012
277.2423547,225.8530412
268.9496692,200.0279867
265.2704793,164.8121516
253.9721101,134.8890932
244.1028159,117.0010756
236.4114373,80.28651027
251.3990641,83.48741866
307.1125558,82.42947201
418.4609101,66.80402291
519.8622931,52.60801674
572.9179861,65.67751434
550.2871543,74.08235134
497.5977956,92.65295442
405.586411,114.5020939
316.5447246,126.8668691
222.6855934,142.3540415
186.8982419,148.3433345
175.4782371,167.7315436
174.7895542,178.3925736
176.6980247,191.7873014
190.4024565,183.2434574
243.2959044,179.8414312
327.2525947,185.4302727
308.9821518,192.4223885
259.622991,194.6221941
256.2337051,196.9278303
250.802024,155.3530545
246.5226541,152.0063184
245.4804083,169.3466547
245.5599398,162.7996025
264.0771576,179.7178854
323.7255823,195.157143
452.4458597,257.0320811
552.5513556,235.8069013
605.7435336,249.3924396
589.4634109,286.9549513
539.5864377,318.9302872
450.4997358,346.2427766
366.0357004,365.7917724
279.9420966,399.8961923
246.1759811,414.9599181
234.7640892,434.3353199
237.9842592,462.5153162
238.4550542,469.348873
254.702356,472.1505806
306.7889716,465.0845068
393.5258279,483.0776852
375.6828224,491.8924534
328.0589404,501.8112176
326.7586671,513.3929022
317.5066878,454.6720692
315.1832675,460.111205
303.4552663,429.3922818
301.2570555,412.6085807
316.1915872,413.3562602
373.2895164,417.2666478
493.8863997,442.4748972
592.8953089,416.3034141
645.5184952,427.2158549
624.7345615,444.4322293
576.768273,484.8245986
491.357819,528.4496526
408.1135353,553.3427552
321.8497625,586.5424187
290.1544449,610.8122801
280.1853331,636.4975468
278.9224286,644.3862972
278.4097951,646.7699434
295.3985965,652.847014
344.8349635,633.8592872
436.2708279,672.7651327
410.7064324,646.8277482
358.0122905,633.9993004
352.7395573,627.7918495
355.3782579,622.4513432
347.0916727,601.104481
341.942989,599.8981404
338.4062288,577.1564485
369.1417149,648.545506
427.9697965,660.1161591
541.689816,654.4311543
649.0244599,665.5555041
702.4633347,679.9642314
689.5557957,732.1440046
635.0059045,742.8799553
543.2661083,758.0971372
442.4891209,704.6022962
346.1980612,692.936695
307.0950314,684.1532662
297.361743,710.9857045
287.7337068,681.6851297
283.4862586,667.4447853
294.347875,646.2720698
346.6902073,640.4747117
436.8045357,673.5422039
401.3770773,603.7974397
348.8746971,591.976566
346.542087,599.0763139
337.0539657,539.7035989
333.0554064,537.6634888
326.9392845,532.2283211
331.170799,544.2874879
348.1060735,554.0244618
413.2798162,594.0220101
529.8037297,600.8785706
632.0113479,589.0988051
684.3843088,598.8196035
658.8318156,594.6621432
613.8514054,648.2274664
531.7734951,706.566927
446.953076,724.3072229
363.9859873,772.0382789
322.1184074,750.8093744
322.2120075,821.3521082
329.2786185,866.3705273
340.3678096,920.3721635
359.5408466,936.0745815
418.2499864,958.4204089
491.1042458,914.2578351
472.7970204,920.9306995
414.5909165,883.5621029
419.2644845,921.7001742
388.2875154,766.686926
379.8046514,744.6322531
375.2777403,746.1883712
368.572999,709.4042105
378.9582889,689.9216962
444.9194519,733.3358494
565.1305516,756.6137687
653.9678078,685.2672969
705.977514,693.4294496
683.2614336,701.9360694
626.7548957,704.052286
532.3220966,707.2737041
448.4932388,729.4984134
360.1247322,746.3649161
324.4016795,755.3694052
308.7511901,757.1003217
307.1589739,764.9522723
306.0990538,763.6640089
318.1728854,746.4547314
379.3736225,773.3343982
449.2000902,704.9045018
425.9135224,677.8085524
382.441133,693.2155716
375.2977069,672.6981509
365.414064,610.0918132
361.8624175,614.9117938
344.9190427,565.6581939
388.7642333,758.7910196
413.5409838,805.3827039
510.1258961,985.9491129
637.7654811,1042.366562
745.6932624,1056.805054
802.9147574,1087.926814
778.3441119,1087.400632
729.6974867,1123.548905
633.4328608,1125.946125
510.588302,987.7868496
418.4841037,1004.350889
384.4853969,1021.056858
356.4446091,967.7602966
352.0473971,963.0683798
354.5260809,977.5921728
376.1940358,1003.040183
452.8660841,1098.411469
522.1517361,1027.582119
483.3159854,931.4171831
401.5590878,776.7960131
371.806283,655.9449468
359.0732535,580.8346748
336.2435516,499.9189477
320.7715936,457.278304
315.023012,429.5141801
330.6214433,435.4117807
392.6908649,462.6015299
