homeid,notification_date,provenancedetail,energytype,daily_standing_charge_pence,unit_charge_pence_per_kwh
178,24/08/2017,in_app,electricity,40,9.86
178,24/08/2017,in_app,electricity,42,10.35
178,24/08/2017,in_app,gas,2,2.36
178,24/08/2017,in_app,gas,2,2.48
180,23/08/2017,in_app,electricity,16,16.25
180,23/08/2017,in_app,gas,22,4.1
182,30/09/2017,in_app,electricity,0,15.03
182,30/09/2017,in_app,electricity,0,14.31
182,30/09/2017,in_app,gas,0,3.31
183,11/09/2017,in_app,electricity,17,12.9
183,11/09/2017,in_app,gas,23,3.07
184,02/09/2017,in_app,electricity,21,13.18
184,02/09/2017,in_app,gas,19,2.95
185,02/09/2017,in_app,electricity,15,16.39
185,02/09/2017,in_app,gas,15,3.94
187,04/09/2017,in_app,electricity,58,3.12
187,04/09/2017,in_app,electricity,58,9.49
187,04/09/2017,in_app,gas,60,3.27
187,04/09/2017,in_app,gas,58,3.12
188,05/09/2017,in_app,electricity,16,16.25
188,05/09/2017,in_app,gas,16,3.91
189,06/09/2017,in_app,electricity,19,12.52
189,06/09/2017,in_app,gas,16,2.66
190,06/09/2017,in_app,electricity,26,13.39
190,06/09/2017,in_app,gas,26,3.75
191,26/11/2017,in_app,electricity,8,16
191,26/11/2017,in_app,gas,4,7.8
193,19/09/2017,in_app,electricity,27,14.37
193,19/09/2017,in_app,gas,29,3.26
193,19/09/2017,in_app,gas,27,3.1
194,19/09/2017,in_app,electricity,28,15.5
194,19/09/2017,in_app,gas,30,4.01
195,20/09/2017,in_app,electricity,15,11.17
195,20/09/2017,in_app,gas,22,38.12
195,20/09/2017,in_app,gas,21,3.63
197,26/09/2017,in_app,electricity,21,14.22
197,26/09/2017,in_app,gas,17,3.05
199,28/09/2017,in_app,electricity,16,15.88
199,28/09/2017,in_app,gas,16,3.94
200,28/09/2017,in_app,electricity,21,12.6
200,28/09/2017,in_app,gas,20,2.63
201,29/09/2017,in_app,electricity,19,12.4
201,29/09/2017,in_app,gas,19,2.76
202,29/09/2017,in_app,electricity,16,20.31
202,29/09/2017,in_app,gas,23,3.18
202,29/09/2017,in_app,gas,24,3.34
203,02/10/2017,in_app,electricity,0,0.15
203,02/10/2017,in_app,electricity,14,15.09
203,02/10/2017,in_app,gas,0,3.43
203,02/10/2017,in_app,gas,14,3.43
205,05/10/2017,in_app,electricity,19,16.11
205,05/10/2017,in_app,gas,19,3.69
206,04/10/2017,in_app,electricity,25,14.81
206,04/10/2017,in_app,gas,25,3.39
207,06/10/2017,in_app,electricity,26,13.18
208,06/10/2017,in_app,electricity,36,16.16
208,06/10/2017,in_app,gas,26,4.05
209,04/12/2017,in_app,gas,30,4.01
209,20/12/2017,in_app,electricity,30,15.57
210,09/10/2017,in_app,electricity,34,11.99
210,09/10/2017,in_app,gas,34,1.69
211,10/10/2017,in_app,electricity,16,16.39
211,10/10/2017,in_app,gas,16,3.94
212,11/10/2017,in_app,electricity,21,12.36
212,11/10/2017,in_app,gas,14,3.19
213,12/11/2017,in_app,electricity,27,15.75
213,12/11/2017,in_app,gas,27,4.14
213,12/11/2017,in_app,gas,28,4.1
213,12/11/2017,in_app,gas,27,4.17
214,17/10/2017,in_app,electricity,15,13.02
214,17/10/2017,in_app,gas,15,3.8
216,13/10/2017,in_app,electricity,26,15.32
216,13/10/2017,in_app,gas,26,3.98
218,14/10/2017,in_app,electricity,28,15.5
218,14/10/2017,in_app,gas,30,4.01
218,29/04/2018,in_app,electricity,24,14.06
218,29/04/2018,in_app,gas,24,2.96
219,16/10/2017,in_app,electricity,36,16.16
219,16/10/2017,in_app,gas,26,3.86
221,17/10/2017,in_app,electricity,24,12.25
221,17/10/2017,in_app,gas,24,2.47
221,17/10/2017,in_app,gas,23,2.35
222,09/12/2017,in_app,gas,16,16.39
222,09/12/2017,in_app,gas,16,3.94
223,18/10/2017,in_app,electricity,26,3.75
223,18/10/2017,in_app,electricity,26,18.4
223,18/10/2017,in_app,gas,26,3.75
224,24/10/2017,in_app,electricity,23,12.74
224,24/10/2017,in_app,gas,18,2.8
225,24/10/2017,in_app,gas,25,13.56
225,24/10/2017,in_app,gas,15,3.19
225,09/12/2017,in_app,electricity,25,13.56
225,09/12/2017,in_app,gas,15,3.19
226,25/10/2017,in_app,electricity,0,17.16
226,25/10/2017,in_app,gas,23,3.18
227,26/10/2017,in_app,electricity,16,13
227,26/10/2017,in_app,gas,22,3.79
227,20/11/2017,in_app,electricity,17,13.64
227,20/11/2017,in_app,electricity,13,16.42
227,20/11/2017,in_app,gas,22,3.79
227,25/01/2018,in_app,electricity,16,13.51
227,25/01/2018,in_app,gas,22,3.07
228,28/10/2017,in_app,electricity,28,15.5
228,28/10/2017,in_app,gas,23,4.04
228,28/10/2017,in_app,gas,30,4.01
229,30/10/2017,in_app,electricity,16,13.82
229,30/10/2017,in_app,electricity,19,15.08
229,30/10/2017,in_app,gas,5,4.6
229,30/10/2017,in_app,gas,18,3.84
230,04/11/2017,in_app,electricity,20,15.98
230,04/11/2017,in_app,gas,23,3.15
231,30/10/2017,in_app,electricity,24,13.18
231,30/10/2017,in_app,gas,24,4.34
232,30/10/2017,in_app,electricity,20,13.38
232,30/10/2017,in_app,gas,28,2.42
233,31/10/2017,in_app,electricity,28,2.42
233,31/10/2017,in_app,electricity,18,12.74
233,31/10/2017,in_app,gas,26,2.31
235,03/11/2017,in_app,electricity,19,12.57
235,03/11/2017,in_app,gas,19,2.75
236,01/11/2017,in_app,electricity,27,16.03
236,01/11/2017,in_app,gas,27,4.18
236,14/12/2017,in_app,electricity,26,12.86
236,14/12/2017,in_app,gas,25,2.47
237,10/11/2017,in_app,electricity,8,17.24
237,10/11/2017,in_app,gas,8,3.58
238,02/11/2017,in_app,electricity,29,13.11
238,02/11/2017,in_app,gas,29,2.89
239,03/11/2017,in_app,electricity,19,15.53
239,03/11/2017,in_app,gas,26,3.55
240,06/11/2017,in_app,electricity,15,16.4
240,06/11/2017,in_app,gas,15,3.94
241,07/11/2017,in_app,electricity,20,18.22
241,07/11/2017,in_app,gas,28,4.18
242,07/11/2017,in_app,electricity,8,17.24
242,07/11/2017,in_app,gas,8,3.58
243,07/11/2017,in_app,electricity,25,12.26
243,07/11/2017,in_app,gas,25,2.47
244,08/11/2017,in_app,electricity,27,16.35
244,08/11/2017,in_app,gas,27,3.94
245,09/11/2017,in_app,electricity,23,12.92
245,09/11/2017,in_app,gas,15,3.04
246,09/11/2017,in_app,electricity,27,15
246,09/11/2017,in_app,gas,27,3.84
247,13/11/2017,in_app,electricity,26,2.64
247,13/11/2017,in_app,gas,19,12.72
248,03/12/2017,in_app,electricity,24,12.44
248,03/12/2017,in_app,electricity,23,11.85
248,03/12/2017,in_app,gas,23,2.38
249,13/11/2017,in_app,electricity,35,12.24
249,13/11/2017,in_app,gas,30,2.77
250,17/11/2017,in_app,electricity,14,12.84
250,17/11/2017,in_app,gas,24,2.64
251,19/11/2017,in_app,electricity,19,13.15
251,19/11/2017,in_app,gas,19,13.15
251,19/11/2017,in_app,gas,26,2.64
251,31/05/2018,in_app,electricity,32,12.13
251,31/05/2018,in_app,gas,20,2.95
252,21/11/2017,in_app,electricity,19,13.6
252,21/11/2017,in_app,gas,26,2.71
253,21/11/2017,in_app,electricity,26,12.46
253,21/11/2017,in_app,gas,26,3.75
254,21/11/2017,in_app,electricity,19,12.74
254,21/11/2017,in_app,gas,26,2.31
255,23/11/2017,in_app,electricity,16,16.39
255,23/11/2017,in_app,gas,16,3.94
256,27/11/2017,in_app,electricity,29,16.51
256,27/11/2017,in_app,gas,29,3.12
257,29/11/2017,in_app,electricity,26,12.45
257,29/11/2017,in_app,gas,26,3.75
258,29/11/2017,in_app,electricity,19,12.74
258,29/11/2017,in_app,gas,26,2.36
