charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,,,,,
0,0,9.518143386,503.0327834,0.048059,0.033671,Charge+++++,,,,,
0,0,9.518143386,424.6256018,0.048059,0.035695,Charge+++++,,,,,
0,0,9.518143386,338.9008583,0.048059,0.038357,Charge+++++,,,,,
0,0,9.518143386,309.8426729,0.048059,0.046277,Charge+++++,,,,,
0,0,9.518143386,303.2987982,0.048059,0.047718,Charge+++++,,,,,
0,0,9.518143386,307.4649988,0.048059,0.046244,Charge+++++,,,,,
0,0,9.518143386,308.3599679,0.048059,0.047344,Charge+++++,,,,,
0,6.853063238,1.903628677,325.3652957,0.048059,0.048994,Discharge-----,,,,,
0,0,1.903628677,394.0346319,0.048059,0.049016,Discharge-----,,,,,
0,0,1.903628677,470.2687015,0.048059,0.049126,Discharge-----,,,,,
0,0,1.903628677,446.0037021,0.048059,0.049489,Discharge-----,,,,,
0,0,1.903628677,390.0691138,0.048059,0.06171,Discharge-----,,,,,
0,0,1.903628677,385.4136223,0.048059,0.07667,Discharge-----,,,,,
0,0,1.903628677,373.8983875,0.048059,0.081312,Discharge-----,,,,,
0,0,1.903628677,364.1366151,0.048059,0.079189,Discharge-----,,,,,
0,0,1.903628677,350.5677763,0.048059,0.055088,Discharge-----,,,,,
0,0,1.903628677,337.6087932,0.048059,0.049379,Discharge-----,,,,,
7.614514708,0,9.518143386,359.9352123,0.048059,0.046255,Charge+++++,,,,,
0,0,9.518143386,417.2381316,0.048059,0.040942,Charge+++++,,,,,
0,0,9.518143386,546.3034448,0.048059,0.038115,Charge+++++,,,,,
0,6.853063238,1.903628677,647.6245522,0.037026,0.039424,Discharge-----,,,,,
0,0,1.903628677,699.8613788,0.037026,0.039094,Discharge-----,,,,,
0,0,1.903628677,679.4956339,0.037026,0.038049,Discharge-----,,,,,
0,0,1.903628677,629.8242777,0.037026,0.037708,Discharge-----,,,,,
0,0,1.903628677,542.9638468,0.037026,0.037576,Discharge-----,,,,,
7.614514708,0,9.518143386,461.9728708,0.037026,0.035849,Charge+++++,,,,,
0,6.853063238,1.903628677,379.1976216,0.037026,0.037752,Discharge-----,,,,,
0,0,1.903628677,344.5659651,0.037026,0.037367,Discharge-----,,,,,
0,0,1.903628677,339.7570065,0.037026,0.0374,Discharge-----,,,,,
0,0,1.903628677,341.2656503,0.037026,0.037455,Discharge-----,,,,,
0,0,1.903628677,341.5914478,0.037026,0.038005,Discharge-----,,,,,
0,0,1.903628677,354.2622157,0.037026,0.038038,Discharge-----,,,,,
0,0,1.903628677,424.764138,0.037026,0.037576,Discharge-----,,,,,
0,0,1.903628677,493.8346264,0.037026,0.037312,Discharge-----,,,,,
0,0,1.903628677,474.9838063,0.037026,0.037268,Discharge-----,,,,,
0,0,1.903628677,430.5401313,0.037026,0.037818,Discharge-----,,,,,
0,0,1.903628677,429.7090605,0.037026,0.038016,Discharge-----,,,,,
0,0,1.903628677,412.9057896,0.037026,0.037741,Discharge-----,,,,,
0,0,1.903628677,388.5797762,0.037026,0.037576,Discharge-----,,,,,
7.614514708,0,9.518143386,380.6911259,0.037026,0.036421,Charge+++++,,,,,
0,0,9.518143386,373.4140765,0.037026,0.035343,Charge+++++,,,,,
0,0,9.518143386,394.9255174,0.037026,0.034716,Charge+++++,,,,,
0,0,9.518143386,450.4082445,0.037026,0.033198,Charge+++++,,,,,
0,0,9.518143386,598.5425671,0.037026,0.031911,Charge+++++,,,,,
0,0,9.518143386,678.6535571,0.03421,0.032285,Charge+++++,,,,,
0,0,9.518143386,731.4692521,0.03421,0.031768,Charge+++++,,,,,
0,0,9.518143386,711.8799126,0.03421,0.031108,Charge+++++,,,,,
0,0,9.518143386,665.2957749,0.03421,0.030624,Charge+++++,,,,,
0,0,9.518143386,572.4800962,0.03421,0.030844,Charge+++++,,,,,
0,0,9.518143386,490.8248366,0.03421,0.031504,Charge+++++,,,,,
0,0,9.518143386,401.0421739,0.03421,0.03201,Charge+++++,,,,,
0,0,9.518143386,363.6773969,0.03421,0.032439,Charge+++++,,,,,
0,0,9.518143386,351.1488915,0.03421,0.032967,Charge+++++,,,,,
0,0,9.518143386,351.99801,0.03421,0.033792,Charge+++++,,,,,
0,6.853063238,1.903628677,357.6841884,0.03421,0.034617,Discharge-----,,,,,
0,0,1.903628677,373.0339629,0.03421,0.03509,Discharge-----,,,,,
0,0,1.903628677,423.9401713,0.03421,0.034672,Discharge-----,,,,,
0,0,1.903628677,514.8720234,0.03421,0.034452,Discharge-----,,,,,
0,0,1.903628677,496.1946571,0.03421,0.035035,Discharge-----,,,,,
0,0,1.903628677,439.4450147,0.03421,0.036113,Discharge-----,,,,,
0,0,1.903628677,436.5104034,0.03421,0.038082,Discharge-----,,,,,
0,0,1.903628677,416.8935579,0.03421,0.038698,Discharge-----,,,,,
0,0,1.903628677,412.820331,0.03421,0.037708,Discharge-----,,,,,
0,0,1.903628677,395.1257528,0.03421,0.036685,Discharge-----,,,,,
0,0,1.903628677,382.1619028,0.03421,0.035937,Discharge-----,,,,,
0,0,1.903628677,394.1621125,0.03421,0.035805,Discharge-----,,,,,
0,0,1.903628677,447.5004269,0.03421,0.035024,Discharge-----,,,,,
7.614514708,0,9.518143386,572.7147185,0.03421,0.03366,Charge+++++,,,,,
0,0,9.518143386,675.5840265,0.034001,0.033825,Charge+++++,,,,,
0,0,9.518143386,731.6532698,0.034001,0.033704,Charge+++++,,,,,
0,0,9.518143386,717.3285065,0.034001,0.033583,Charge+++++,,,,,
0,0,9.518143386,669.5188612,0.034001,0.033594,Charge+++++,,,,,
0,0,9.518143386,599.6884202,0.034001,0.033693,Charge+++++,,,,,
0,0,9.518143386,518.9219405,0.034001,0.03377,Charge+++++,,,,,
0,0,9.518143386,425.7980862,0.034001,0.033847,Charge+++++,,,,,
0,0,9.518143386,427.8090656,0.034001,0.033638,Charge+++++,,,,,
0,0,9.518143386,393.8688809,0.034001,0.033825,Charge+++++,,,,,
0,6.853063238,1.903628677,388.0589276,0.034001,0.034199,Discharge-----,,,,,
0,0,1.903628677,386.1254278,0.034001,0.035123,Discharge-----,,,,,
0,0,1.903628677,405.782941,0.034001,0.034089,Discharge-----,,,,,
0,0,1.903628677,458.0427488,0.034001,0.034056,Discharge-----,,,,,
7.614514708,0,9.518143386,555.9319666,0.034001,0.033957,Charge+++++,,,,,
0,0,9.518143386,512.8473932,0.034001,0.033935,Charge+++++,,,,,
0,6.853063238,1.903628677,435.8327148,0.034001,0.034056,Discharge-----,,,,,
0,0,1.903628677,419.3159228,0.034001,0.03476,Discharge-----,,,,,
0,0,1.903628677,396.6445839,0.034001,0.035024,Discharge-----,,,,,
0,0,1.903628677,376.0159612,0.034001,0.034606,Discharge-----,,,,,
0,0,1.903628677,362.5957612,0.034001,0.034265,Discharge-----,,,,,
7.614514708,0,9.518143386,373.3615778,0.034001,0.033913,Charge+++++,,,,,
0,6.853063238,1.903628677,370.9896298,0.034001,0.034045,Discharge-----,,,,,
7.614514708,0,9.518143386,430.3006029,0.034001,0.033605,Charge+++++,,,,,
0,0,9.518143386,556.9575864,0.034001,0.032879,Charge+++++,,,,,
0,0,9.518143386,661.5615089,0.03454,0.032516,Charge+++++,,,,,
0,0,9.518143386,718.6527356,0.03454,0.032021,Charge+++++,,,,,
0,0,9.518143386,701.756855,0.03454,0.031889,Charge+++++,,,,,
0,0,9.518143386,649.3949598,0.03454,0.032076,Charge+++++,,,,,
0,0,9.518143386,564.6090795,0.03454,0.032681,Charge+++++,,,,,
0,0,9.518143386,481.0732078,0.03454,0.033451,Charge+++++,,,,,
0,0,9.518143386,394.0489844,0.03454,0.033847,Charge+++++,,,,,
0,6.853063238,1.903628677,363.6282529,0.03454,0.035948,Discharge-----,,,,,
0,0,1.903628677,350.0011388,0.03454,0.036883,Discharge-----,,,,,
0,0,1.903628677,348.1721078,0.03454,0.036641,Discharge-----,,,,,
0,0,1.903628677,355.023447,0.03454,0.036806,Discharge-----,,,,,
0,0,1.903628677,370.5098552,0.03454,0.036212,Discharge-----,,,,,
0,0,1.903628677,423.1194844,0.03454,0.036135,Discharge-----,,,,,
0,0,1.903628677,522.2221986,0.03454,0.036003,Discharge-----,,,,,
0,0,1.903628677,490.9517227,0.03454,0.035541,Discharge-----,,,,,
0,0,1.903628677,418.5996925,0.03454,0.036058,Discharge-----,,,,,
0,0,1.903628677,403.6712354,0.03454,0.036531,Discharge-----,,,,,
0,0,1.903628677,384.5912408,0.03454,0.036245,Discharge-----,,,,,
0,0,1.903628677,363.0312793,0.03454,0.036146,Discharge-----,,,,,
0,0,1.903628677,337.7877091,0.03454,0.034551,Discharge-----,,,,,
7.614514708,0,9.518143386,326.0176053,0.03454,0.03355,Charge+++++,,,,,
0,0,9.518143386,328.2858916,0.03454,0.033077,Charge+++++,,,,,
0,0,9.518143386,383.7748344,0.03454,0.032527,Charge+++++,,,,,
0,0,9.518143386,517.6269494,0.03454,0.031713,Charge+++++,,,,,
0,0,9.518143386,619.9272529,0.032527,0.028776,Charge+++++,,,,,
0,0,9.518143386,678.8547012,0.032527,0.028127,Charge+++++,,,,,
0,0,9.518143386,665.4943081,0.032527,0.028039,Charge+++++,,,,,
0,0,9.518143386,619.6530213,0.032527,0.028127,Charge+++++,,,,,
0,0,9.518143386,542.1548295,0.032527,0.030547,Charge+++++,,,,,
0,0,9.518143386,462.7211785,0.032527,0.031823,Charge+++++,,,,,
0,6.853063238,1.903628677,365.1741004,0.032527,0.032769,Discharge-----,,,,,
0,0,1.903628677,336.8331243,0.032527,0.0341,Discharge-----,,,,,
0,0,1.903628677,331.4986499,0.032527,0.034441,Discharge-----,,,,,
0,0,1.903628677,337.1197331,0.032527,0.034342,Discharge-----,,,,,
0,0,1.903628677,335.5727515,0.032527,0.034254,Discharge-----,,,,,
0,0,1.903628677,346.0339144,0.032527,0.034166,Discharge-----,,,,,
0,0,1.903628677,393.1963563,0.032527,0.034089,Discharge-----,,,,,
0,0,1.903628677,488.230286,0.032527,0.0341,Discharge-----,,,,,
0,0,1.903628677,458.5582179,0.032527,0.034111,Discharge-----,,,,,
0,0,1.903628677,401.0337947,0.032527,0.034133,Discharge-----,,,,,
0,0,1.903628677,396.5381955,0.032527,0.034309,Discharge-----,,,,,
0,0,1.903628677,377.1379851,0.032527,0.034309,Discharge-----,,,,,
0,0,1.903628677,363.5490909,0.032527,0.034122,Discharge-----,,,,,
0,0,1.903628677,349.2808832,0.032527,0.033594,Discharge-----,,,,,
0,0,1.903628677,341.156252,0.032527,0.032791,Discharge-----,,,,,
7.614514708,0,9.518143386,354.0773206,0.032527,0.032505,Charge+++++,,,,,
0,0,9.518143386,403.9147126,0.032527,0.032065,Charge+++++,,,,,
0,0,9.518143386,514.7106791,0.032527,0.030888,Charge+++++,,,,,
0,0,9.518143386,616.2112836,0.030041,0.026818,Charge+++++,,,,,
0,0,9.518143386,668.6975443,0.030041,0.025058,Charge+++++,,,,,
0,0,9.518143386,644.2984719,0.030041,0.024255,Charge+++++,,,,,
0,0,9.518143386,587.8137516,0.030041,0.02431,Charge+++++,,,,,
0,0,9.518143386,509.7045413,0.030041,0.02596,Charge+++++,,,,,
